Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff
2021/12/17,233.5254364,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.037833796,0.346111829,0.851838287,-3.789452523,-0.407919756
2021/12/18,233.5088196,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.034811963,0.338762788,0.974946327,-3.946677455,-0.079871264
2021/12/19,233.4922027,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.056571667,0.354562527,0.873245828,-4.04873059,0.62506397
2021/12/20,233.4755859,0,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.080510077,0.356412705,0.852295168,-3.755870062,0.423151941
2021/12/21,236.8442841,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.077291824,0.373301621,1.305383665,-4.283953391,-0.039973297
2021/12/22,240.7611237,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.076455627,0.371128091,1.170490197,-5.232255595,-0.010818702
2021/12/23,241.6979828,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.067594254,0.361541445,1.189569508,-5.763251894,-0.115902172
2021/12/24,242.6946297,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.057684532,0.353089192,1.401047781,-4.770755132,-0.146605979
2021/12/25,243.6912766,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.069523401,0.364604059,1.612526054,-3.77825837,0.205234721
2021/12/26,244.6879234,1,0.774456522,0.138460445,1.008928571,3.370636059,0.511479139,0.323369565,1,0.708418891,12.70175439,1.081021088,9.289588953,0.262833676,2.308943089,0.086956522,0.061601643,0.036392068,0.117647059,11.5,0.451086957,0.042027419,0.368821753,1.634776323,-3.767064216,-0.395492471
