,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,Current Ratio,Debt Ratio,Gross Profit Margin,Inventory Turnover,MACD,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,RSI_ratio,Return on Assets,Return on Equity,Share Buyback / FCF
65,2021-03-07,558.7133179,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.9883443225939278,1.0,0.0,0.4617113995940065,0.4737885350462223,0.34908254641814124,1.0000000000000002,1.0,0.0
66,2021-03-08,554.1099853999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,1.0,1.0,0.0,0.4617113995940065,0.4737885350462223,0.26383768485689396,1.0000000000000002,1.0,0.0
67,2021-03-09,561.9400024,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.9735782781355308,1.0,0.0,0.4617113995940065,0.4737885350462223,0.44699646059737536,1.0000000000000002,1.0,0.0
68,2021-03-10,559.2199707000001,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.9537129472004872,1.0,0.0,0.4617113995940065,0.4737885350462223,0.8559197931913141,1.0000000000000002,1.0,0.0
69,2021-03-11,568.9000244,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8899980512398293,1.0,0.0,0.4617113995940065,0.4737885350462223,0.9947109858090324,1.0000000000000002,1.0,0.0
70,2021-03-12,559.9799805,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8761116827477657,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6673484229059329,1.0000000000000002,1.0,0.0
71,2021-03-13,563.1699829,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8572572345756321,1.0,0.0,0.4617113995940065,0.4737885350462223,0.7032510013502181,1.0000000000000002,1.0,0.0
72,2021-03-14,566.3599853999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8384027862157504,1.0,0.0,0.4617113995940065,0.4737885350462223,0.7391535802039633,1.0000000000000002,1.0,0.0
73,2021-03-15,569.5499877999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.8195483378558688,1.0,0.0,0.4617113995940065,0.4737885350462223,0.7750561590577085,1.0000000000000002,1.0,0.0
74,2021-03-16,560.8400268999999,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.811947391032992,1.0,0.0,0.4617113995940065,0.4737885350462223,0.5372632369865495,1.0000000000000002,1.0,0.0
75,2021-03-17,566.4400024,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7772524856340535,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6058742782308167,1.0000000000000002,1.0,0.0
76,2021-03-18,570.0499877999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7359820646767978,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4682884965737341,1.0000000000000002,1.0,0.0
77,2021-03-19,568.9299927000001,0,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7110964315427244,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6136250335614921,1.0000000000000002,1.0,0.0
78,2021-03-20,572.6199951,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6904394096046518,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6227883284744311,1.0000000000000002,1.0,0.0
79,2021-03-21,576.3099976,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6697823876478044,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6319516233873701,1.0000000000000002,1.0,0.0
80,2021-03-22,580.0,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.649125365690957,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6411149187097691,1.0000000000000002,1.0,0.0
81,2021-03-23,571.0,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6466053345232382,1.0,0.0,0.4617113995940065,0.4737885350462223,0.6499681803303418,1.0000000000000002,1.0,0.0
82,2021-03-24,559.3800049,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6891179563518376,1.0,0.0,0.4617113995940065,0.4737885350462223,0.35328777892545865,1.0000000000000002,1.0,0.0
83,2021-03-25,559.0599976,0,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.7119293538581124,1.0,0.0,0.4617113995940065,0.4737885350462223,0.2811821885344513,1.0000000000000002,1.0,0.0
84,2021-03-26,578.5900268999999,1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.644656215697967,1.0,0.0,0.4617113995940065,0.4737885350462223,0.4474254858348042,1.0000000000000002,1.0,0.0
85,2021-03-27,575.7400106,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.642260670124684,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3940885292881147,1.0000000000000002,1.0,0.0
86,2021-03-28,572.8899943,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6398651245514009,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3407515731508853,1.0000000000000002,1.0,0.0
87,2021-03-29,570.039978,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6374695789968926,1.0,0.0,0.4617113995940065,0.4737885350462223,0.2874146166041958,1.0000000000000002,1.0,0.0
88,2021-03-30,564.1500244,-1,0.0,0.4795472925522084,0.0,1.0,0.5183281854683734,0.0,0.6552281151939213,1.0,0.0,0.4617113995940065,0.4737885350462223,0.3418488792986585,1.0000000000000002,1.0,0.0
