,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff,s_diff
663,2021/12/25,243.6912766,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.640587418,0.604311789,0.509188903,0.144945583,0.202774827,0.525516009
664,2021/12/26,244.6879234,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.479382854,0.629290686,0.516214892,0.145507417,0.172269277,0.485971583
665,2021/12/27,245.6845703,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.552627418,0.644880644,0.367503393,0,0.2074479,0.477645803
666,2021/12/28,243.4321594,-1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.422175213,0.497536018,0.329697333,0.011135754,0.171628222,0.338373319
667,2021/12/29,246.2028503,1,0.701212906,0.748001261,0.399747478,0.387578706,0,0.775390032,0,0.994244129,0.876417623,0.494130838,0.918036714,0.640984641,0.476375312,0,0,0.70812579,0.424325337,1,0.602652175,0.572758437,0.608616348,0.32696154,0.002039954,0.232770756,0.565929206
668,2021/12/30,244.3391113,-1,0.490907343,1,0.475604919,1,0,0.272142429,0,0.924156194,0.944188603,0.400362351,1,0.786373472,1,0.248366009,0.274181452,0.982904495,0.4287458,0.695187167,0.49444486,0.696014978,0.610524873,0.278288297,0.030142874,0.210774053,0.465891509
669,2021/12/31,243.2128906,-1,0.490907343,1,0.475604919,1,0,0.272142429,0,0.924156194,0.944188603,0.400362351,1,0.786373472,1,0.248366009,0.274181452,0.982904495,0.4287458,0.695187167,0.49444486,0.554458213,0.599233172,0.250551278,0.071036576,0.176828174,0.454435636
670,2022/1/1,239.8907216,-1,0.490907343,1,0.475604919,1,0,0.272142429,0,0.924156194,0.944188603,0.400362351,1,0.786373472,1,0.248366009,0.274181452,0.982904495,0.4287458,0.695187167,0.49444486,0.53575014,0.410700291,0.269033885,0.063421466,0.189397622,0.299778216
671,2022/1/2,236.5685527,-1,0.490907343,1,0.475604919,1,0,0.272142429,0,0.924156194,0.944188603,0.400362351,1,0.786373472,1,0.248366009,0.274181452,0.982904495,0.4287458,0.695187167,0.49444486,0.736164486,0.699554141,0.269081975,0.031710733,0.225966882,0.740364855
672,2022/1/3,233.2463837,-1,0.490907343,1,0.475604919,1,0,0.272142429,0,0.924156194,0.944188603,0.400362351,1,0.786373472,1,0.248366009,0.274181452,0.982904495,0.4287458,0.695187167,0.49444486,0.680870827,0.593252856,0.09166157,0.210434493,0.186772565,0.37563416
673,2022/1/4,224.3662109,-1,0.490907343,1,0.475604919,1,0,0.272142429,0,0.924156194,0.944188603,0.400362351,1,0.786373472,1,0.248366009,0.274181452,0.982904495,0.4287458,0.695187167,0.49444486,0.511461522,0.544315256,0.083211461,0.390087688,0.17314536,0.421427228
